"imno","filnamn","P_Acer","P_Aesculus","P_Brassicaceae","P_Centaurea.cyanus","P_Cytisus","P_Glechoma.hederacea","P_Laburnum","P_Lamium","P_Lonicera","P_Lupinus","P_Papaver","P_Phacelia","P_Pinaceae","P_Potentilla.group","P_Prunus.group","P_Prunus.groupB","P_Pulmonaria.group","P_Quercus","P_Rhododendron","P_Robinia","P_Salix","P_Sambucus","P_Symphytum","P_Taraxacum","P_Tilia","P_Trifolium.pratense","P_Trifolium.repens.group","P_Viola.arvensis.group","P_zzRaisins","n","S"
1002079,"BB_1_NaOA3_R2 1002079",0,0,0,0,0,0,0,1,155,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,32,191,1.75336883093815
1002030,"BB_10_HoA3_R2 1002030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,21,206,1.39003454818836
1002186,"BB_100_BoA1_R3 1002186",0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,151,1.11646692579547
1002158,"BB_101_BrA3_R2-2 1002158",0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,157,1.2674584766165
1002176,"BB_103_NaVA2_R2-2 1002176",0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,161,1.30370807238662
1002160,"BB_105_NaVA1_R2-2 1002160",2,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,160,1.57877486397713
1002052,"BB_106_KrA1_R2 1002052",0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,197,1.22232053300583
1002146,"BB_107_BrA1_R2-2 1002146",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,4,21,2.6573256145194
1002206,"BB_108_KaA3_R3 1002206",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,30,232,1.51021755502497
1001920,"BB_11_NaOA3_R1 1001920",0,0,0,0,0,0,0,185,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,216,1.53995283838264
1001992,"BB_117_BoA2_R2 1001992",0,7,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,128,1.76183022604606
1002150,"BB_118_BrA2_R2-2 1002150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,3,68,1.1981951588827
1002000,"BB_119_BoA3_R2 1002000",0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,162,1.19484259574424
1002109,"BB_12_RyNA2_R2 1002109",0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,228,1.11121887088718
1002137,"BB_121_StMA2_R2-2 1002137",0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,166,1.40949023089981
1002092,"BB_122_NaVA2_R2 1002092",131,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,178,2.10138637891106
1002042,"BB_126_KaA3_R2 1002042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,40,88,1.99174121480513
1002164,"BB_127_NaVA1_R2-2 1002164",0,0,0,0,0,0,0,0,1,0,0,0,1,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,8,171,1.29710327302503
1002132,"BB_131_StMA1_R2-2 1002132",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,83,102,1.61732839028691
1002139,"BB_132_StMA2_R2-2 1002139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,0,0,0,0,25,200,1.45756926498109
1002001,"BB_133_BoA3_R2 1002001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1
1002110,"BB_137_RyNA2_R2 1002110",0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,23,92,1.93621203069761
1002174,"BB_138_NaVA2_R2-2 1002174",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,15,212,1.33004472044106
1002061,"BB_142_KrA3_R2 1002061",0,154,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,162,1.25779910464203
